nameCity,nameCountry,latitudeCity,longitudeCity
Butembo,Democratic Republic of the Congo,0.114047,29.3018011
Неготино,Macedonia,41.0377245,21.3300873
Brzeszcze,Poland,49.966515,19.177858
Tongjiang,China,47.642707,132.510919
Billdal,Sweden,57.5901299,11.9313139
Corona,United States,33.8781886,-117.5731991
Beilun,China,29.899044,121.844618
Kasserine,Tunisia,35.0809148,8.6600586
Panjakent,Tajikistan,39.3547141,67.8569785
Dingcheng,China,39.928353,116.416357
Wintzenheim,France,48.0684339,7.3273853
Valencia,Venezuela,10.1579312,-67.9972104
San Cristóbal Verapaz,Guatemala,15.3657777,-90.4792939
Mao,Dominican Republic,19.5403533,-71.0790048
Kadubera,Indonesia,-6.4594857,105.9141793
Sumberkertokrajan,Indonesia,-8.237963,112.5513677
Molsheim,France,48.5372073,7.5002842
Fatubia,Indonesia,-6.3904294,107.1733193
Opočno,Czech Republic,50.2609615,16.101507
Żyraków,Poland,50.0919002,21.3924958
Cáceres,Colombia,7.579029,-75.349545
Roseau,Dominica,15.3091676,-61.3793554
Janja,Bosnia and Herzegovina,44.666926,19.2469148
Zwolle,Netherlands,52.5470847,6.0237938
Svoge,Bulgaria,43.0007361,23.341193
Maia,Portugal,37.8307393,-25.3919027
Hexi,China,39.109563,117.223371
Rumenka,Serbia,45.3125176,19.7556505
Esquina,Argentina,-34.6161437,-58.5238406
Lugait,Philippines,8.3345712,124.2510844
Zelenoborskiy,Russia,66.870387,32.3919624
Kizlyar,Russia,59.902198,30.337848
Andrijevica,Montenegro,42.7362477,19.7859556
Xinghua,China,32.910459,119.85254
Ballymun,Ireland,53.3897152,-6.264963
Shuikou,China,26.319938,113.810157
Ipirá,Brazil,-12.1880654,-39.734338
Biscoitos,Portugal,38.6152027,-28.0339781
Verkh-Usugli,Russia,52.6886817,115.1891675
Sincé,Colombia,9.2633053,-75.1927805
Tuanshan,China,33.195993,105.606648
Madīnat Sittah Uktūbar,Egypt,29.9588757,30.9006905
Molchanovo,Russia,57.586388,83.771275
Ra-ngae,Thailand,6.2958736,101.7296049
Alor Setar,Malaysia,6.1244023,100.3674801
Mongu,Zambia,-15.2735504,23.1501117
Jixian,China,40.04606,117.408306
Des Moines,United States,41.6,-93.61
Pyrzyce,Poland,53.1460852,14.8924044
Węgliniec,Poland,51.2879708,15.2299326
Kallinge,Sweden,56.2270517,15.3137401
Yala,Thailand,6.5411018,101.2804075
Uiasa,Indonesia,-10.1508133,123.4551696
Beauvais,France,49.4263976,2.0887457
Callao,Peru,-12.0508491,-77.1259843
Stockholm,Sweden,47.0163969,-68.1430029
Gal’bshtadt,Russia,53.2264,78.9845
Yukou,China,37.942488,110.525111
Anhua Daying,China,24.414825,102.665768
Erechim,Brazil,-27.6849439,-52.2337184
Buka,Indonesia,-8.681402,115.1957203
Ust’-Koksa,Russia,50.270819,85.613152
Taza,Morocco,34.2105603,-3.9980485
Dūst Moḩammad Khān,Iran,31.1447,61.7925
Calheta,Cape Verde,15.229571,-23.2141352
Buerarema,Brazil,-15.0144051,-39.299866
Luntas,Indonesia,-8.1130067,112.0304508
Henghe,China,29.756501,121.507191
Springfield,United States,42.1144473,-72.4909026
Trat,Thailand,12.0310173,102.2928163
Kourou,French Guiana,5.1677581,-52.6449937
Raniżów,Poland,50.2709514,22.0218252
Kalinovo,Russia,57.131667,60.146389
Ning’an,China,44.34072,129.4828511
Bago City,Philippines,10.5712156,122.944471
Cầu Gồ,Vietnam,21.4761084,106.12575
Neyagawa,Japan,34.771214,135.606399
Independencia,Mexico,31.6749725,-106.4181775
Zarzal,Colombia,4.2886233,-76.0623979
Changjiang,China,30.5211502,112.8915932
Troparëvo,Russia,55.6558059,37.4793238
Zhenlai,China,45.847435,123.1998901
Juncheng,China,35.026516,111.00746
Kuryłówka,Poland,50.3068281,22.5169584
Dapuchaihe,China,42.884784,128.033416
Sandnes,Norway,58.848193,5.66466
Bouaké,Ivory Coast,7.690466,-5.0390536
Ajaccio,France,46.6473105,0.813275
Pārūn,Afghanistan,35.3170344,70.8744255
Buenavista,Mexico,16.7646627,-93.1569465
Sioux City,United States,42.5069391,-96.3598367
Zliten,Libya,32.2785242,14.5189214
Xinghua,China,32.910459,119.85254
Duekoué,Ivory Coast,6.7473801,-7.3624598
Margacina,Indonesia,-7.1282614,108.6591293
Urbano Noris,Cuba,20.5849821,-76.2247366
Paritaman,Indonesia,-0.6256517,100.1233396
Shāhzādpur,Bangladesh,24.1933092,89.573856
Brampton,United Kingdom,52.382748,1.580316
Gondang,Indonesia,-7.4417327,111.1056539
Listvyanskiy,Russia,54.4413911,83.4937253
Načeradec,Czech Republic,49.6101863,14.9063338
Zaña,Peru,-6.90821,-79.5772008
Símantra,Greece,40.3459138,23.3097061
Ksour Essaf,Tunisia,35.4175712,10.997658
Choma,Zambia,-16.8054223,26.9970153
Bergem,Luxembourg,49.5206119,6.0453754
Megati Kelod,Indonesia,-8.498277,115.0550008
Ta‘izz,Yemen,13.5775886,44.0177989
Narutō,Japan,35.6083867,140.410859
Liuji,China,32.460037,112.228897
Imbituba,Brazil,-28.2446355,-48.6764133
Mahābād,Iran,36.7683527,45.7337091
Minakuchi,Japan,37.0897128,138.1339233
Lębork,Poland,54.5343125,17.7510347
Rennes,France,47.9434065,-1.235807
Luleå,Sweden,67.1355975,20.6859936
Ylihärmä,Finland,63.1454739,22.7948195
Ngeni,Indonesia,-8.2463454,112.2085959
Kediri,Indonesia,-7.8480156,112.0178286
Vitória,Brazil,-20.2976178,-40.2957768
Keleng,Indonesia,-7.590458,109.1077389
Paris 19,France,48.8858655,2.3839746
Novaya Chigla,Russia,51.2221617,40.4794612
Dornava,Slovenia,46.4356499,15.952954
Dul’durga,Russia,50.6749519,113.5905613
Villeta,Colombia,5.011706,-74.470362
Wangi,Indonesia,-5.282644,123.5839983
Uluale,Indonesia,-3.9164982,119.7397084
Kärdla,Estonia,58.9982038,22.7468094
Barreirinhas,Brazil,-2.759,-42.8236209
Laojunpo,China,35.74716,105.42118
Xarardheere,Somalia,4.6559524,47.8563151
Dongsheng,China,39.822507,109.963338
Freixo de Numão,Portugal,41.0672146,-7.2170293
Kimil’tey,Russia,54.141449,101.978668
Överkalix,Sweden,66.2185015,23.0524409
Gulou,China,39.9416682,116.3958807
Cerava,Albania,40.8508894,20.7256564
Maubin,Myanmar,16.7260699,95.6484241
Volnovakha,Ukraine,47.5951141,37.4831419
Kīevka,Kazakhstan,50.2603928,71.5485944
Tužno,Croatia,46.254048,16.2368405
Alagoinhas,Brazil,-12.1339194,-38.4211655
Kauhan,Indonesia,-8.4711768,115.6153885
Ilare,Nigeria,7.7906768,4.8002333
Pābna,Bangladesh,24.0308651,89.2275131
Causwagan,Philippines,10.3719544,123.9153917
Taohuajiang,China,28.520684,112.140063
Oceanside,United States,33.192168,-117.3028803
Omigawa,Japan,35.8550956,140.6058841
Huangjin,China,25.8516667,114.7766667
Huanglin,China,25.9152,115.626796
Capalonga,Philippines,14.273035,122.564262
Lohong,Indonesia,-0.6311749,100.1192169
Kilmacanoge,Ireland,53.171935,-6.139018
Lipin Bor,Russia,60.2615318,37.9796654
Ceres,South Africa,-33.2825097,19.3247866
Koloniya Zastav’ye,Ukraine,50.81667,27.03333
Ghār al Milḩ,Tunisia,37.1686873,10.188536
Sheli,China,36.557474,116.747092
Niny,Russia,44.4868448,43.9408057
Gushan,China,25.423994,119.038321
Duri,Indonesia,1.259619,101.213097
Metchosin,Canada,48.382005,-123.53785
Shanghu,China,31.2303904,121.4737021
Beizhang,China,36.09873,113.324384
Jasper Park Lodge,Canada,52.8861365,-118.0572366
Peliyagoda,Sri Lanka,6.964703,79.881693
Maszewo Duże,Poland,52.579839,19.6295361
Mirzec,Poland,51.1501056,21.0487361
Montpellier,France,47.3752386,-0.8453268
Garagoa,Colombia,5.082453,-73.365046
Costa Sacate,Argentina,-31.646394,-63.760259
Gualeguay,Argentina,-34.6961915,-58.8423829
Xi’an,China,34.341574,108.93977
Sayaxché,Guatemala,16.5303424,-90.1894032
Yongfeng,China,27.318852,115.444319
Rossosh’,Russia,50.1987725,39.5632497
Şānūr,Palestinian Territory,32.358901,35.246147
Götene,Sweden,58.5118215,13.4761783
Mawlamyinegyunn,Myanmar,16.3838587,95.2606084
San Ramón,Peru,-11.1215276,-75.3587075
La Punta,Argentina,-28.4134906,-64.7629972
Cha’anpu,China,28.642843,111.161288
Bratsigovo,Bulgaria,42.0070624,24.4410972
Sancti Spíritus,Cuba,21.9327554,-79.4366324
Vårgårda,Sweden,57.9760319,12.9355428
Basse-Terre,Guadeloupe,16.0072833,-61.7159101
Temirtau,Kazakhstan,50.0509609,72.9660737
Kupu,China,-8.47822,115.245682
Krzemieniewo,Poland,51.857861,16.8415115
Lunsar,Sierra Leone,8.6881283,-12.5355393
Lypova Dolyna,Ukraine,50.6162099,33.8468153
Kisesa,Tanzania,-3.097,34.108189
Nangalimang,Indonesia,-8.6436471,122.2001457
Mileb,Philippines,14.6293712,121.1072374
São Caetano do Sul,Brazil,-30.2196952,-51.0985192
Paombong,Philippines,14.834691,120.78195
Carriedo,Philippines,14.6004472,121.030802
Gózd,Poland,51.378691,21.3788326
Pedome,Portugal,41.414967,-8.3881947
Dongting,China,28.8876615,112.5841075
Thawi Watthana,Thailand,13.78851,100.33334
Åkersberga,Sweden,59.4871523,18.4207352
Lyon,France,43.0429124,1.9038837
Gokwe,Zimbabwe,-18.2167271,28.9470422
Rizómilos,Greece,37.0038961,21.9202642
Haumeni,Indonesia,-9.8895144,124.6552328
Góra,Poland,51.669945,16.5376529
Banjar Kampungbugis,Indonesia,0.5299444,123.063975
Da-an Sur,Philippines,11.2666664,122.5333328
Pasirjengkol,Indonesia,-6.3045618,107.346448
Pryamitsyno,Russia,51.6561,35.9314
Göteborg,Sweden,57.731461,12.0599176
Butterworth,Malaysia,5.4552197,100.4115631
Jiaocun,China,28.228271,104.565145
Krasnosilka,Ukraine,46.6211188,30.7719233
Isabela,Philippines,16.9822955,121.644372
Växjö,Sweden,56.6444907,14.224297
Santo Niño,Philippines,14.3839328,121.050126
Barakani,Comoros,-12.1392325,44.4311608
Proástion,Greece,37.9512175,23.4910916
Changning,China,31.220367,121.424624
Jiacun,China,31.2467156,121.445175
Golubinci,Serbia,44.9811213,20.0818204
Changtan,China,24.64995,116.156645
Tiền Hải,Vietnam,20.3609414,106.5584071
Strömstad,Sweden,57.7194979,11.9142911
Ad Dimnah,Yemen,13.4535926,44.18389
Douniani,Comoros,-11.4260053,43.2968632
Maigo,Philippines,8.1180013,123.9864049
Ngozi,Burundi,-2.9083521,29.8265492
Dmitrov,Russia,56.2340628,37.5182622
Laventille,Trinidad and Tobago,10.6485481,-61.495357
Porto Feliz,Brazil,-23.2248099,-47.4882762
Litian,China,25.60162,103.817356
La Cruz,Mexico,23.9211737,-106.8915948
Mariel,Cuba,22.9874431,-82.7535929
Lazo,Russia,43.3815181,133.9055702
Querecotillo,Peru,-4.8383044,-80.6482153
Rumenka,Serbia,45.3125176,19.7556505
Shahrīār,Iran,35.6706771,51.0227587
Lagayan,Philippines,17.775429,120.683745
Sydney,Australia,-33.7974423,151.2502275
Göteborg,Sweden,57.7316019,12.0703707
Noailles,France,44.3324131,-0.1518541
Mauá,Brazil,-23.668163,-46.4617086
Santa Rita,Bolivia,-17.9808139,-63.3697226
San Eduardo,Philippines,14.7247931,121.0315758
Kolpny,Russia,52.2183563,35.2154784
Shigutang,China,24.348178,113.151358
Limoges,France,45.521519,3.5276642
Sanjiang,China,25.783198,109.607675
Karanggeneng,Indonesia,-7.5173045,110.5933862
Linpu,China,30.045109,120.249049
Puerto Quellón,Chile,-43.1169327,-73.6138821
Opatov,Czech Republic,49.224335,15.6616683
Gereshk,Afghanistan,31.8299494,64.5681086
Huangqi,China,44.284636,129.459707
Kholbon,Russia,51.88333,116.25
Gornji Petrovci,Slovenia,46.7976469,16.233744
Kamen’-na-Obi,Russia,53.731482,81.3070974
Huilong,China,30.304377,103.686294
Pariaman,Indonesia,-0.6256517,100.1233396
Banjar Sedang,Indonesia,-8.5740103,115.2379322
Nurmo,Finland,62.8291624,22.910026
Adelaide,Australia,-34.9284989,138.6007456
Renxian,China,37.120983,114.671935
Rerawere,Indonesia,-8.5793,121.57227
Independencia,Mexico,19.3803931,-99.1476908
Ugbokpo,Nigeria,7.679352,7.9266015
Boljevci,Serbia,44.6956711,20.2671882
Pinheiral,Brazil,-22.5383309,-44.0103922
Tarxien,Malta,35.8659607,14.5139265
Thị Trấn Hùng Quốc,Vietnam,22.8533627,106.3287199
Gaotuo,China,41.132444,122.660989
Ubrub,Indonesia,-3.1914976,140.8872648
David,Panama,8.4007278,-82.4427769
Xinglongquan,China,37.546455,121.369038
Jingkou,China,32.19828,119.47016
Gravataí,Brazil,-29.942289,-50.9907877
Peishe,China,35.295007,111.326555
Una,Brazil,-15.2090734,-39.1959729
Qandala,Somalia,11.4720137,49.8739267
Ust-Kamenogorsk,Kazakhstan,49.9749295,82.6017244
Avesta,Sweden,60.145521,16.17123
Chengji,China,30.572815,104.066801
San Cristóbal,Venezuela,7.7713572,-72.2261466
Delson,Canada,45.3689432,-73.5408926
Ruma,Serbia,45.0075322,19.8227166
Hushi,China,25.315243,119.090741
Vale de São Cosme,Portugal,41.4514619,-8.4873087
Luntas,Indonesia,-8.1130067,112.0304508
Wilcza,Poland,50.188406,18.598769
Hondo Valle,Dominican Republic,18.5049101,-69.8296974
Lidong,China,39.9791423,117.0643296
Chavães,Portugal,41.0882428,-7.5686677
Skopin,Russia,53.8257473,39.556825
Santiago De Compostela,Spain,42.8970535,-8.5418899
Imbituva,Brazil,-25.2641605,-50.6378804
Cikai,China,27.7443962,98.6654381
Ailibugai,China,28.6693449,115.899378
Muara,Indonesia,-0.670315,100.962601
Baima,China,29.528923,104.990101
Langkapcaang Hilir,Indonesia,-6.5483,105.9235
Australia Square,Australia,-33.8651294,151.2078882
Xunqiao,China,31.058765,121.315718
Galapa,Colombia,10.898923,-74.883823
Virje,Croatia,46.0473698,16.9785233
Maanĭt,Mongolia,45.8309803,94.80205
Jiangbu,China,33.1401715,119.7889248
Matsutō,Japan,35.2495378,136.8995543
Pelem,Indonesia,-7.7607338,112.1698476
Langzhong,China,31.558356,106.005046
Kizlyar,Russia,59.902198,30.337848
Longonjo,Angola,-12.9018025,15.2458111
Menol,Indonesia,-7.4869186,108.4691492
Osielec,Poland,49.6805192,19.7822663
Lubień,Poland,49.6968574,19.9506717
Pétionville,Haiti,18.5138139,-72.2881907
Puerta de Corral Quemado,Argentina,-34.6255137,-58.4322185
Calumpang,Philippines,14.6527027,121.0271174
Andong,South Korea,36.5683543,128.729357
Putrajaya,Malaysia,2.9329721,101.6259842
Muting,Indonesia,-7.3162208,140.4308159
5 de Mayo,Mexico,19.2874648,-99.6494479
Yutan,China,41.244729,-96.3966046
Bystryanka,Russia,52.2215511,85.7616347
Trinidad,Uruguay,-33.5201418,-56.9042201
Masachapa,Nicaragua,11.7874103,-86.5141817
Kasimov,Russia,54.881319,41.433405
Jabungsisir,Indonesia,-7.7232567,113.4686802
Barnaul,Russia,53.3276146,83.7603436
Verkhnya Rozhanka,Ukraine,48.7799795,23.51569
Mangga Dua,Indonesia,-6.1418556,106.8281623
Norrtälje,Sweden,59.7620958,18.7017911
Thetford-Mines,Canada,46.1098585,-71.2983257
Yuktae-dong,North Korea,40.026852,128.161102
Lyubech,Ukraine,51.700259,30.6625433
Heredia,Costa Rica,9.979992,-84.158761
Camp Flora,Philippines,14.6387213,121.0505978
Dongkeng,China,22.995838,113.933872
Ōiso,Japan,35.3517729,139.2972985
Issy-les-Moulineaux,France,48.821908,2.2615744
Tromsø,Norway,69.63186,18.9221
Benisheikh,Nigeria,11.804149,12.5183307
Zyukayka,Russia,58.2084997,54.707343
Doumen,China,22.2092,113.296467
Vrachnaíika,Greece,38.1625093,21.6682269
Kuala Terengganu,Malaysia,5.329576,103.1369108
Delareyville,South Africa,-26.69475,25.4735999
Idtig,Philippines,6.6999998,124.7833328
Selajambe Satu,Indonesia,-7.11833,108.45883
Ängelholm,Sweden,56.2369096,12.882661
Ifakara,Tanzania,-8.139894,36.681728
Concepción,Chile,-36.8201352,-73.0443904
Athi River,Kenya,-1.4577245,36.9785033
Alfeizerão,Portugal,39.5016783,-9.1028729
Brandsen,Argentina,-34.6381227,-58.3787726
Jiyang,China,36.978537,117.173524
Isesaki,Japan,36.4257359,139.9802454
Sirnasari,Indonesia,-6.633688,107.1573142
Charneca da Cotovia,Portugal,38.4832851,-9.1025502
San Isidro de Lules,Argentina,-26.924287,-65.3379779
Dū Laīnah,Afghanistan,34.15599,64.78566
Babak,Philippines,7.0583573,125.7222954
Erong,China,28.79188,98.397783
Detik Satu,Indonesia,-6.9244486,107.6365834
Jianling,China,23.013168,109.804001
Liujiachang,China,33.2934023,119.282264
Nandayure,Costa Rica,10.0307694,-85.2294397
Maunggora,Indonesia,-8.8043,121.5146
San Jerónimo,Peru,-13.54918,-71.893158
Chotcza,Poland,51.1227795,21.4274273
Danao,Philippines,9.9578348,124.1789637
Xiaoguwei,China,23.044969,113.398429
Arvayheer,Mongolia,46.272878,102.7790303
Sölvesborg,Sweden,56.0633738,14.5468659
Remedios,Colombia,7.027766,-74.692965
Kambaxoi,China,28.3,88.53333
Tallahassee,United States,30.4124334,-84.2831162
Killumney,Ireland,52.6638144,-8.6340751
Camaquã,Brazil,-30.8493976,-51.8048311
Genting,Indonesia,3.7,98.166667
Tandou,China,22.884044,112.145432
Santiago Nonualco,El Salvador,13.5096503,-88.9389921
Jīsh,Israel,33.021266,35.447949
Lukhovka,Russia,54.1456181,45.2504398
Utajärvi,Finland,64.8923524,27.5304357
Libertador General San Martín,Argentina,-34.6893836,-58.5801516
Botou,China,38.083437,116.578368
Железный порт,Ukraine,46.1236303,32.2912714
Biecz,Poland,49.73554,21.26331
Marondera,Zimbabwe,-18.1929582,31.5427093
Długosiodło,Poland,52.7765719,21.5903277
Hampang,Indonesia,-3.283333,115.75
Watuagung,Indonesia,-7.9954685,110.9417222
Jarabacoa,Dominican Republic,19.1168606,-70.6097821
Hantai,China,33.06777,107.031856
Udënisht,Albania,40.9629693,20.6377502
Billère,France,43.3011387,-0.3861522
Sanhe,China,39.982718,117.078294
Kasangulu,Democratic Republic of the Congo,-4.5887697,15.1668326
Liushutun,China,42.632281,122.980034
Cerro Colorado,Uruguay,-33.8603461,-55.5441311
Polowat,Micronesia,7.357338,149.200361
‘Arab ar Rashāydah,Palestinian Territory,31.57112,35.23227
Korolëv Stan,Belarus,53.9865,27.7982
Nusaherang,Indonesia,-7.0142083,108.4335393
Faḩmah,Palestinian Territory,32.38291,35.17912
Neglasari,Indonesia,-6.147133,106.6232359
Haolibao,China,42.654146,122.749282
Labo,Philippines,14.156592,122.830067
Wilkowice,Poland,49.7624347,19.0904515
Nikita,Ukraine,44.5143074,34.2353848
Zhangxiang,China,31.3211873,121.2478052
Van Nuys,United States,34.2,-118.47
Luleå,Sweden,65.6136708,22.1096478
Fenghuang,China,27.948308,109.599191
Panalanoy,Philippines,11.25111,125.00639
Cruces,Cuba,22.332599,-80.2711588
Rosice,Czech Republic,49.3320487,15.6123444
Maubeuge,France,50.2748915,3.9727365
Oemanu,Indonesia,-9.1562915,124.6690605
Bobojong,Indonesia,-6.7535737,107.260056
Lingda,China,31.203196,119.301861
Now Zād,Afghanistan,32.4000226,64.4318916
Pszczew,Poland,52.4874765,15.7562659
Coruripe,Brazil,-10.0519585,-36.2196853
Basyūn,Egypt,30.9422647,30.8157423
Zhuqi,China,22.270978,113.576677
Fort Abbās,Pakistan,29.2083348,72.8578648
Guyancourt,France,48.7865463,2.054647
Watubuku,Indonesia,-8.605,122.743
Zdolbuniv,Ukraine,50.5089112,26.2566443
Changpu,China,30.718837,116.262661
Moate,Ireland,53.3604483,-6.1942058
Xinmen,China,24.479833,118.089425
Türkmenbaşy,Turkmenistan,40.0336591,52.9759299
Benešov nad Černou,Czech Republic,48.7233569,14.6338236
Corredoura,Portugal,38.4576605,-9.1065809
Tianya,China,18.298167,109.452379
Changning,China,31.220367,121.424624
Yangchao,China,24.77848,110.496593
Dve Mogili,Bulgaria,43.5592985,25.9323591
Siqian,China,30.711012,116.242861
Primorsko-Akhtarsk,Russia,45.674028,38.856404
Limoges,France,45.521519,3.5276642
Gandoang,Indonesia,-6.4104949,107.0126076
Bakuriani,Georgia,41.7509723,43.5291848
Mhlume,Swaziland,-26.043518,31.8135556
Áno Kopanákion,Greece,37.28333,21.81667
‘Amrān,Yemen,16.2569214,43.9436788
Korydallós,Greece,37.9810474,23.6498494
Magok,Indonesia,-6.2839964,106.7895416
Shangshuai,China,24.245418,112.047678
Phayakkhaphum Phisai,Thailand,15.5216056,103.2201828
Cogtong,Philippines,9.8220686,124.5140325
Emmeloord,Netherlands,52.6863286,5.7569797
Panggung,Indonesia,-6.8582288,109.1508428
Diang,Cameroon,4.5778968,13.3500652
Codoi,China,30.466314,92.55497
les Escaldes,Andorra,42.5100804,1.5387862
Chacarita,Costa Rica,9.97788,-84.762933
Takum,Nigeria,7.2576942,9.9744535
Colombes,France,48.923882,2.2593884
Markaryd,Sweden,56.4477313,13.6156546
Kozakai-chō,Japan,34.799583,137.3616256
Shanghu,China,31.2303904,121.4737021
Stockholm,Sweden,47.0171563,-68.1430273
Sơn Hà,Vietnam,15.0431944,108.5700636
Liloy,Philippines,8.1219,122.673813
Briey,France,49.2630058,5.9291577
Tianzhou,China,23.681533,110.584168
Qārah,Syria,34.1540161,36.7442377
Chavão,Portugal,41.4472964,-8.5893138
Vilela,Portugal,41.2365246,-8.3826794
Limbi,Comoros,-12.2446158,44.5057388
Guangsheng,China,23.14855,113.249429
Rautalampi,Finland,62.6243044,26.8277488
Tuam,Ireland,53.49417,-8.83565
Kusŏng,North Korea,39.9474202,125.2230626
Gunungsubang,Indonesia,-7.370819,108.1976493
Qaffīn,Palestinian Territory,32.433378,35.0843
Studzionka,Poland,49.9636769,18.7713574
Níkaia,Greece,37.9746194,23.6412944
Mpumalanga,South Africa,-26.6536509,28.5914696
Fushan,China,23.021478,113.121435
Carleton Place,Canada,45.129308,-76.1423766
Campo Belo,Brazil,-20.8938356,-45.2721363
Cadiz,Spain,36.5052612,-6.2761016
Ngaoundéré,Cameroon,7.3381488,13.5668302
Luzern,Switzerland,47.0641228,8.2785907
Port-au-Prince,Haiti,18.594395,-72.3074326
Zboriv,Ukraine,49.660696,25.1434666
Jinhe,China,26.695419,101.841707
Gio Linh,Vietnam,16.9165711,107.0303221
Suyo,Philippines,16.8759704,120.8934263
